"Day","Tide"
2017-01-01,1.0380313100564615
2017-01-14,1.2303838883402254
2017-01-28,1.1012369258407908
2017-02-01,0.9816684420148687
2017-02-14,0.9596433063153467
2017-02-28,1.1742387996524397
2017-03-01,1.150023068277181
2017-03-14,1.0465043241430187
2017-03-28,1.1986277078348744
2017-04-01,1.071964711396004
2017-04-14,0.9397524347288255
2017-04-28,1.299776947441834
2017-05-01,1.0059680275610012
2017-05-14,0.9547261150426767
2017-05-28,1.2952834014992978
2017-06-01,0.7552770558046684
2017-06-14,0.8925539645242283
2017-06-28,1.0653324031135463
2017-07-01,0.5869769172118173
2017-07-14,0.8788478917065763
2017-07-28,0.8778238275085565
2017-08-01,0.4119201314224379
2017-08-14,0.7829368061057753
2017-08-28,0.5783280043813807
2017-09-01,0.561523536714545
2017-09-14,0.2745332567148865
2017-09-28,0.4475160042903048
2017-10-01,0.6355103598628034
2017-10-14,0.7980609403554673
2017-10-28,0.5033388910125207
2017-11-01,0.8269108303607722
2017-11-14,0.8049674390835502
2017-11-28,0.5800750698912467
2017-12-01,0.9236734636780248
2017-12-14,0.7120728250293835
2017-12-28,0.6148190827697804
2018-01-01,1.2069339042825744
2018-01-14,0.7645636817492703
2018-01-28,0.8701849987306735
2018-02-01,1.3439847641290497
2018-02-14,0.946734382024563
2018-02-28,1.1847863629976985
2018-03-01,1.2845280031423656
2018-03-14,0.7966496027808814
2018-03-28,1.0091914202500483
2018-04-01,1.2046424637701718
2018-04-14,1.023968819163494
2018-04-28,1.1287708433790216
2018-05-01,1.0566310946602933
2018-05-14,1.0767129575820442
2018-05-28,1.0186170724904926
2018-06-01,0.9692922313525771
2018-06-14,1.2557059856034245
2018-06-28,0.9953352700579704
2018-07-01,1.0093494684563822
2018-07-14,1.3460473115198177
2018-07-28,1.040030102340907
2018-08-01,0.9374967991473421
2018-08-14,1.2755478116225434
2018-08-28,1.1046436155603976
2018-09-01,0.7887766505687055
2018-09-14,0.918461719327075
2018-09-28,1.0611710703423707
2018-10-01,0.7813164435260069
2018-10-14,0.7492140073100794
2018-10-28,1.0821661349031955
2018-11-01,0.40655944494647267
2018-11-14,0.6148212846488337
2018-11-28,0.9934858260994013
2018-12-01,0.827952525133419
2018-12-14,0.6181511604847335
2018-12-28,0.9334779299567939
2019-01-01,0.7423357415116789
2019-01-14,0.4289873202320923
2019-01-28,0.4682431332353028
2019-02-01,0.7462504392103109
2019-02-14,0.5283674806170907
2019-02-28,0.47641072269840024
2019-03-01,0.5589885293476419
2019-03-14,0.5851215176686408
2019-03-28,0.49446065745354295
2019-04-01,0.671794513295322
2019-04-14,0.7019882024916339
2019-04-28,0.44319666848520334
2019-05-01,0.7837758372048631
2019-05-14,0.8462495941209405
2019-05-28,0.4962891736380536
2019-06-01,0.9626182690876903
2019-06-14,1.0035183894864494
2019-06-28,0.6505016335920268
2019-07-01,1.008064702348781
2019-07-14,0.9460211353136277
2019-07-28,0.7051285577653605
2019-08-01,1.2259659184424998
2019-08-14,0.9379723151526937
2019-08-28,0.9779069818205444
2019-09-01,1.3680209685744833
2019-09-14,1.0332570612590632
2019-09-28,1.2822290408554622
2019-10-01,1.3106431749942873
2019-10-14,1.089646156621034
2019-10-28,1.3402865889106836
2019-11-01,0.9556824798452325
2019-11-14,1.0903471419769946
2019-11-28,1.1825536669383874
2019-12-01,0.826766571039171
2019-12-14,1.1321414048072302
2019-12-28,1.0510662813117
2020-01-01,0.6617984965438861
2020-01-14,1.1463343528338175
2020-01-28,0.9233668375574656
2020-02-01,0.4293121753822366
2020-02-14,0.9802933140676813
2020-02-28,0.8458186010274245
2020-03-01,0.5849174899772241
2020-03-14,0.9900216326547456
2020-03-28,0.9119220615639434
2020-04-01,0.5488480871250367
2020-04-14,0.7164590219564702
2020-04-28,0.4929882174041808
2020-05-01,0.6298364320983303
2020-05-14,0.6139060045115285
2020-05-28,0.4718553353986412
2020-06-01,0.8092410046025111
2020-06-14,0.44742158932919396
2020-06-28,0.7823401320000785
2020-07-01,0.8994994442403983
2020-07-14,0.4657033880520894
2020-07-28,0.7691550743094935
2020-08-01,1.0372750323675746
2020-08-14,0.6041388403531456
2020-08-28,0.7773812397542565
2020-09-01,1.0153739242669335
2020-09-14,0.805535651334771
2020-09-28,0.7954158499448618
2020-10-01,0.9803577489129192
2020-10-14,0.9209923307734693
2020-10-28,0.7417492036561538
2020-11-01,1.058846629530654
2020-11-14,1.2393051008747347
2020-11-28,0.871626968219427
2020-12-01,1.059049341676919
2020-12-14,1.2760099828790985
2020-12-28,0.904494567453747
2021-01-01,1.0947629430978272
2021-01-14,1.2101196503640081
2021-01-28,1.076310389670373
2021-02-01,1.0826537540835974
2021-02-14,1.002904189316326
2021-02-28,1.2108222265003232
2021-03-01,1.2171447811031784
2021-03-14,1.0506076238575917
2021-03-28,1.1939441635770374
2021-04-01,1.155570844885951
2021-04-14,1.0060690056364345
2021-04-28,1.326327571604736
2021-05-01,1.061517193278843
2021-05-14,1.0096451676479268
2021-05-28,1.3053250272518082
2021-06-01,0.8190219349570744
2021-06-14,0.9811244312975632
2021-06-28,1.1040932953156526
2021-07-01,0.6454605155258127
2021-07-14,0.9786672225913622
2021-07-28,0.9399978267931264
2021-08-01,0.43383035045945734
2021-08-14,0.9082775629065096
2021-08-28,0.7121677584654265
2021-09-01,0.0
2021-09-14,0.7335953899993397
2021-09-28,0.5422440621589492
2021-10-01,0.40173445391905005
2021-10-14,0.39969620026902963
2021-10-28,0.6321491151419847
2021-11-01,0.748826841516601
2021-11-14,0.7132412224614175
2021-11-28,0.4461393330500855
2021-12-01,0.8519858100739965
2021-12-14,0.6073992325385011
2021-12-28,0.6228289931075527
